review_text,rating
"Butterful Rapid Mixer - Just OK product, not excellent !",3.0
Its wonderful BUT,4.0
Perfect juicer for vegetables and fruits.,5.0
Works best with PPPoE type cable internet RJ45,5.0
excellent,5.0
poor installation & demo,4.0
Above-average product,3.0
Awesome buy ! Value for money,5.0
Bad service,2.0
Best in the class,5.0
Good Experience,5.0
Recommended product,5.0
A Good Ball To Buy,5.0
Best food processor,5.0
bad quality product,1.0
Bad choice,2.0
"Good product, but doesn't work out of box if your main router is TP-LINK",5.0
Product & Delivery was awsome but for demo we have to pay,4.0
good product excellent service.,4.0
Great,4.0
Perfect product and ideal!!,4.0
Excellent Machine,5.0
Neat design and good outcome.,5.0
Eureka Forbes Trendy Zip Dry Vacuum Cleaner,3.0
Economic and Easy to Operate- Recommended .,5.0
Good!!,5.0
Superb value for money product,5.0
Did not meet expectations,1.0
Fair Enough,5.0
Stopped Working After 5 mins!,2.0
Superb five star product,5.0
Good Furniture,5.0
ESET-I am happy,5.0
"Worst, pure chinese product, Never waste your hard earned Rs",1.0
Boat Soundbar,3.0
its not bad,3.0
"Highly recommended, amazing product by Google",5.0
Easy to setup,5.0
HP 678 Black Ink Cartridge,5.0
Very Good Protect!!! Must Buy!,5.0
Good with not so great service.,3.0
Good Product & Lowest Price ever only @ Flipkart,5.0
Amazing product for its price!!!,5.0
Defective Item Sent,1.0
BEST PRODUCT AND BEST BUY,4.0
Don't waste money,1.0
Good Product,5.0
Must buy! It's an excellent product.,5.0
Worth the money review on first use,4.0
"Recommended, Nice Product, Fast Delivery. Worth for money.",5.0
Best but not worth in this range,3.0
"Best quality, easy to use. 100% satisfaction.",5.0
Almost Good,4.0
amazing coloured prints. :),4.0
Hated it!,1.0
Absolute rubbish!NOT GOOD,1.0
VERY GOOD PRODUCT (Price increased now),5.0
"Poor Quality, Don't Waste Your Money !",1.0
Value for the money,5.0
Don't Buy,1.0
Unclear Specifications,1.0
Dont buy,1.0
Brilliant,5.0
"Mixing, Grinding, chopping FANTASTIC. Shredding not so GREAT",3.0
Worth buying,5.0
Nice buy for a family of 4.,4.0
Excellent product for Indian cooking,5.0
Bajaj GX 1 Mixer Grinder,1.0
Not working,1.0
Excellent Product. User friendly,5.0
Thik hi hai,5.0
i m in love with it,5.0
Worst product and service including service staff,1.0
VFM cartridge,5.0
I should have bought it earlier....,5.0
Worried of recieving defective product but thanks to flipkart for replacing it with a brand new model of Bajaj FX11 FP,5.0
Worthless,1.0
IFB Doesn't need any quality clarification,5.0
Awesome product within this price range.,5.0
Choppers not good,1.0
Dlink,5.0
NICE YAAR,4.0
Good so far,1.0
Worth every penny!!,5.0
Hated it! This Tv has issues with connecting  to Wifi .,1.0
WORST QUALITY - STOPPED WORKING JUST AFTER 25 DAYS,1.0
Worst Installlation Service provided,1.0
Awesome DSLR Camera!,5.0
"Look classy, elegant, convenient with timer",5.0
"Great product, HORRIBLE service.",3.0
Best microwave oven,5.0
Very useful product,4.0
LG 20 L solo Microwave Oven is really good,4.0
"Overall average product, but Built Quality could have been better..",3.0
It cost me 15k to get my data recovered! Don't buy this!,1.0
Classy product for gifting,5.0
Good Juicer,5.0
Easy Installation and Nice product,5.0
Great product.,5.0
Does the job (almost),4.0
Seems little low power of motor,2.0
2 weeks still no installation,1.0
BEST MECHANICAL KEYBOARD UNDER 2000,5.0
Wonderful,5.0
Did not meet expectation,1.0
SAMSUNG 23 L Solo Microwave Oven,5.0
Just okay,3.0
Awesome,5.0
Best Cooler !,5.0
Excellent one,5.0
Capacity is too low,2.0
Loving it,5.0
Bajaj FX 11,5.0
