review_text,rating,word_count,is_fake,is_duplicate,emojis,sentiment,scores,compound,label,review_len
Nice product for family of 4,4.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}",0.4215,2,6
Not Good product,1.0,3,0,1,,Negative,"{'neg': 0.546, 'neu': 0.454, 'pos': 0.0, 'compound': -0.3412}",-0.3412,0,3
Works best with PPPoE type cable internet RJ45,5.0,8,0,1,,Positive,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6369}",0.6369,2,8
nice,5.0,1,1,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,2,1
Sharp upper edges.,1.0,3,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,3
Excellent Machine,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",0.5719,2,2
Very hard ball,2.0,3,0,1,,Negative,"{'neg': 0.458, 'neu': 0.542, 'pos': 0.0, 'compound': -0.1761}",-0.1761,0,3
Damaged,2.0,1,0,1,,Negative,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4404}",-0.4404,0,1
Superb product,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,2,2
high class speakers,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3
OVER PRICED AT FLIP KART CHECK OUT RATE IN OTHER ONLINE STORES,3.0,12,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,12
ITS WHAT YOU NEED IN KITCHEN,5.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,6
Philips HR 1832,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3
Very satisfactory,3.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.264, 'pos': 0.736, 'compound': 0.4201}",0.4201,2,2
Best Product......Realy Nice,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.125, 'pos': 0.875, 'compound': 0.7906}",0.7906,2,3
"खूपच भारी product आहे, value for money!",5.0,7,0,0,,Positive,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.4003}",0.4003,2,7
"Look classy, elegant, convenient with timer",5.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.7184}",0.7184,2,6
Performs what it was designed for..,5.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,6
power grinder,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2
Expected a better product,2.0,4,0,1,,Negative,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,0,4
Perfect product! Awesome Dishwasher at affordable cost,5.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.382, 'pos': 0.618, 'compound': 0.8439}",0.8439,2,7
Good Service,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,2,2
Bahut achcha hai,3.0,3,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,3
"Good Product, NOT GREAT",3.0,4,0,1,,Negative,"{'neg': 0.439, 'neu': 0.229, 'pos': 0.332, 'compound': -0.235}",-0.235,0,4
